Cycle, ARC, Entity Type, Entity Uid, Project Code, State, State Age (days), Days over limit, Protrack Link, SB Name(s)

2013.A, NA, MOUS, uid://A001/X144/X146, 2013.A.00007.T, PartiallyObserved, 179, 89, https://asa.alma.cl/protrack/?ousStatusUid=uid://A001/X144/X146, Pluto
2013.A, NA, SB, uid://A001/X144/X142, 2013.A.00007.T, Suspended, 172, 142, https://asa.alma.cl/protrack/?schedBlockUid=uid://A001/X144/X142, Pluto
2013.1, EA, MOUS, uid://A002/X996c88/X32, 2013.1.00993.S, ReadyToDeliver, 3, 0, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X996c88/X32, PDR-N55_a_03_TE
2013.1, EA, MOUS, uid://A002/X9a055b/X6, 2013.1.00724.S, FullyObserved, 17, 3, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X9a055b/X6, Abell_S0_b_06_TE
2013.1, EA, MOUS, uid://A002/X9908b7/X34, 2013.1.00724.S, FullyObserved, 17, 3, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X9908b7/X34, RXJ1347-_a_06_TE
2013.1, EA, MOUS, uid://A001/X146/Xc2, 2013.1.01305.S, FullyObserved, 17, 3, https://asa.alma.cl/protrack/?ousStatusUid=uid://A001/X146/Xc2, LDN_204__a_03_TE
2013.1, EA, MOUS, uid://A002/X996c88/X72, 2013.1.01042.S, FullyObserved, 19, 5, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X996c88/X72, N132D_a_03_TP
2013.1, EA, MOUS, uid://A002/X996c88/X3a, 2013.1.00993.S, FullyObserved, 19, 5, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X996c88/X3a, N55-PDR_a_06_TE
2013.1, EA, MOUS, uid://A002/X996c88/X70, 2013.1.01042.S, FullyObserved, 19, 5, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X996c88/X70, J1256-0547_a_03_TP
2013.1, EA, MOUS, uid://A001/X148/X11b, 2013.1.00803.S, FullyObserved, 19, 5, https://asa.alma.cl/protrack/?ousStatusUid=uid://A001/X148/X11b, J1256-0547_a_03_TP
2013.1, EA, MOUS, uid://A001/X148/X11d, 2013.1.00803.S, FullyObserved, 19, 5, https://asa.alma.cl/protrack/?ousStatusUid=uid://A001/X148/X11d, Centauru_b_03_TP
2013.1, EA, MOUS, uid://A001/X11f/X77, 2013.1.00879.S, Verified, 12, 5, https://asa.alma.cl/protrack/?ousStatusUid=uid://A001/X11f/X77, Lupus_3__a_06_TE
2013.1, EA, MOUS, uid://A001/X145/X34a, 2013.1.00773.S, FullyObserved, 21, 7, https://asa.alma.cl/protrack/?ousStatusUid=uid://A001/X145/X34a, HD95086_a_06_TE
2013.1, EA, MOUS, uid://A002/X9908b7/Xc, 2013.1.00212.S, PartiallyObserved, 99, 9, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X9908b7/Xc, N83C_a_06_TP
